Map,Claude 3.5 Sonnet,Claude 3 Haiku,Claude 3 Opus,GPT-4 Turbo,GPT-4o Mini,GPT-4o,Gemini 1.5 Flash,Gemini 1.5 Pro
fields/maps/29.txt,9,9,9,9,9,9,9,9
fields/maps/15.txt,9,9,9,9,9,9,6,4
fields/maps/100.txt,9,7,9,9,9,9,7,9
fields/maps/14.txt,9,7,9,7,9,9,9,7
fields/maps/28.txt,9,7,9,7,9,9,9,7
fields/maps/16.txt,9,9,9,9,9,9,4,7
fields/maps/17.txt,9,9,9,9,9,9,9,9
fields/maps/13.txt,9,7,9,9,9,9,9,7
fields/maps/12.txt,9,7,9,9,9,8,7,9
fields/maps/10.txt,9,9,9,7,9,9,8,7
fields/maps/38.txt,9,9,9,9,9,9,7,7
fields/maps/39.txt,9,9,9,9,9,9,9,9
fields/maps/11.txt,9,9,9,9,9,9,9,6
fields/maps/76.txt,9,7,7,9,9,9,6,6
fields/maps/62.txt,9,7,9,9,9,9,7,6
fields/maps/89.txt,9,9,9,9,9,9,4,7
fields/maps/88.txt,9,7,9,7,9,9,9,9
fields/maps/63.txt,9,8,9,9,9,9,9,7
fields/maps/77.txt,9,9,9,9,9,9,6,7
fields/maps/49.txt,9,9,9,9,9,9,9,9
fields/maps/61.txt,9,7,9,9,9,9,6,4
fields/maps/75.txt,9,9,9,9,9,9,7,5
fields/maps/74.txt,9,9,9,9,9,9,9,9
fields/maps/60.txt,9,6,9,9,9,9,5,6
fields/maps/48.txt,9,7,9,9,9,9,8,7
fields/maps/64.txt,9,7,7,8,9,9,6,7
fields/maps/70.txt,9,9,9,9,9,9,9,7
fields/maps/58.txt,9,7,9,7,9,9,9,7
fields/maps/59.txt,9,7,9,9,9,9,7,6
fields/maps/71.txt,9,9,9,9,7,9,7,9
fields/maps/65.txt,9,9,9,9,9,9,4,6
fields/maps/73.txt,9,9,9,9,9,9,9,6
fields/maps/67.txt,9,7,9,9,9,9,9,7
fields/maps/9.txt,9,9,9,9,9,9,8,6
fields/maps/98.txt,9,6,9,9,9,9,9,7
fields/maps/99.txt,9,4,9,9,7,9,9,9
fields/maps/8.txt,9,7,9,7,9,9,4,7
fields/maps/66.txt,9,9,9,9,9,9,9,2
fields/maps/72.txt,9,7,9,7,9,7,5,4
fields/maps/57.txt,9,9,9,9,9,9,9,9
fields/maps/5.txt,9,9,9,7,9,9,9,7
fields/maps/43.txt,9,7,9,9,9,9,6,7
fields/maps/94.txt,9,9,9,9,9,9,7,9
fields/maps/80.txt,9,7,9,9,9,9,9,5
fields/maps/81.txt,9,7,9,9,9,9,7,6
fields/maps/95.txt,9,7,7,9,7,9,9,9
fields/maps/42.txt,9,7,8,7,9,7,6,7
fields/maps/56.txt,9,9,9,9,9,9,9,7
fields/maps/4.txt,9,9,8,9,9,9,9,4
fields/maps/68.txt,9,9,9,7,9,9,7,9
fields/maps/40.txt,9,9,9,9,9,9,9,7
fields/maps/6.txt,9,9,9,9,9,9,7,7
fields/maps/54.txt,9,9,9,9,9,9,8,7
fields/maps/83.txt,9,9,9,9,9,9,9,4
fields/maps/97.txt,9,7,9,9,9,9,7,5
